Registration,trip_count_Charging_window,trip_count_Day,trip_count_Night,total_trips,%_night_trips,%_day_trips,percentage_charging_window,,,,,
LL67UJU,40,609,118,767,15,79,5,,,,,
LL19YEY,88,115,123,326,38,35,27,,,,,
LT17UZB,46,95,124,265,47,36,17,,,,,
RJ66BKZ,121,43,124,288,43,15,42,,,,,
LP16UTL,66,214,124,404,31,53,16,,,,,
KE68BZD,72,428,125,625,20,68,12,,,,,
LR68JBV,42,204,127,373,34,55,11,,,,,
LX68MFE,56,286,127,469,27,61,12,,,,,
LX68MHN,99,842,127,1068,12,79,9,,,,,
LT69ZVD,139,918,128,1185,11,77,12,,,,,
WX65VRE,0,12,129,141,91,9,0,,,,,
KY66SZU,23,108,129,260,50,42,9,,,,,
RE67WOB,79,83,129,291,44,29,27,,,,,
LS68YKA,5,529,129,663,19,80,1,,,,,
RK20UYE,147,1222,130,1499,9,82,10,,,,,
KF19AYC,12,266,131,409,32,65,3,,,,,
LL17EFG,9,853,133,995,13,86,1,,,,,
RA19NVU,146,828,134,1108,12,75,13,,,,,
LK67XZT,76,246,135,457,30,54,17,,,,,
RK20UXC,580,3047,135,3762,4,81,15,,,,,
RE69NBO,280,1630,136,2046,7,80,14,,,,,
RK20UZF,145,877,138,1160,12,76,12,,,,,
LM18GFV,4,36,139,179,78,20,2,,,,,
LV67SXG,38,93,139,270,51,34,14,,,,,
RJ66NTU,16,769,139,924,15,83,2,,,,,
LV17DYJ,91,26,140,257,54,10,35,,,,,
LR20VWU,74,570,140,784,18,73,9,,,,,
LR20VPN,7,1655,140,1802,8,92,0,,,,,
WU17EHM,4,734,141,879,16,84,0,,,,,
DP19YDW,50,109,143,302,47,36,17,,,,,
LX17UGL,82,438,144,664,22,66,12,,,,,
MX19PXH,73,436,145,654,22,67,11,,,,,
LM19OEL,78,443,145,666,22,67,12,,,,,
AY20ZSO,4,16,146,166,88,10,2,,,,,
LK67XZA,148,444,148,740,20,60,20,,,,,
KX68VBD,83,407,149,639,23,64,13,,,,,
LO69YDK,184,792,149,1125,13,70,16,,,,,
RX17ZSL,114,255,152,521,29,49,22,,,,,
LN17JVP,53,1223,152,1428,11,86,4,,,,,
LV67SWN,42,71,153,266,58,27,16,,,,,
LL19FXF,146,421,154,721,21,58,20,,,,,
RV69LLJ,35,72,155,262,59,27,13,,,,,
KE19EZA,86,561,155,802,19,70,11,,,,,
RA19XNW,93,850,155,1098,14,77,8,,,,,
KY66SZT,9,413,156,578,27,71,2,,,,,
LL65ZFD,141,1179,156,1476,11,80,10,,,,,
KY66TCU,105,30,159,294,54,10,36,,,,,
LS68GUK,87,76,160,323,50,24,27,,,,,
LR68WMM,140,462,160,762,21,61,18,,,,,
RK20UZV,192,1320,160,1672,10,79,11,,,,,
RF19NKD,47,555,162,764,21,73,6,,,,,
RF66HZB,46,403,164,613,27,66,8,,,,,
LT69GXD,33,90,166,289,57,31,11,,,,,
LN67KHU,34,20,167,221,76,9,15,,,,,
RA19NVX,68,443,167,678,25,65,10,,,,,
KS17BGK,129,786,167,1082,15,73,12,,,,,
WX65VRF,5,12,168,185,91,6,3,,,,,
LL66ZPF,70,403,168,641,26,63,11,,,,,
LL66ZPY,15,17,169,201,84,8,7,,,,,
RJ20HAA,111,932,169,1212,14,77,9,,,,,
WX65VRG,1,13,171,185,92,7,1,,,,,
LR66FPD,29,129,172,330,52,39,9,,,,,
RK69TWU,261,38,172,471,37,8,55,,,,,
LS66GYE,5,1012,172,1189,14,85,0,,,,,
RF66HZX,17,229,173,419,41,55,4,,,,,
LV68EHF,78,1035,174,1287,14,80,6,,,,,
LS21DMO,8,122,175,305,57,40,3,,,,,
RK20UXB,534,2727,175,3436,5,79,16,,,,,
LV17DZH,247,648,177,1072,17,60,23,,,,,
RX67MYP,222,1116,177,1515,12,74,15,,,,,
LR68HXC,37,153,178,368,48,42,10,,,,,
LL17WHW,77,109,180,366,49,30,21,,,,,
RJ16URM,279,1305,181,1765,10,74,16,,,,,
LS21DNE,144,183,183,510,36,36,28,,,,,
LK67YDC,13,366,184,563,33,65,2,,,,,
LR20FLE,35,390,184,609,30,64,6,,,,,
RK20UWW,199,1084,185,1468,13,74,14,,,,,
LO19YVF,122,458,186,766,24,60,16,,,,,
LP19LXH,20,151,187,358,52,42,6,,,,,
RV17PZO,196,150,187,533,35,28,37,,,,,
LC67XCG,74,379,187,640,29,59,12,,,,,
KY66TBZ,89,56,190,335,57,17,27,,,,,
LK19TNZ,91,91,191,373,51,24,24,,,,,
LS70TVC,40,0,192,232,83,0,17,,,,,
RV18LNE,88,152,192,432,44,35,20,,,,,
RK69TWZ,58,300,192,550,35,55,11,,,,,
RY19LFP,84,520,192,796,24,65,11,,,,,
LL17EFF,251,1794,192,2237,9,80,11,,,,,
LR68HTU,39,141,193,373,52,38,10,,,,,
LM69UYT,88,25,194,307,63,8,29,,,,,
RE69NBK,356,2814,195,3365,6,84,11,,,,,
LR69CZB,20,5,196,221,89,2,9,,,,,
RE66ZTJ,2,102,196,300,65,34,1,,,,,
LM19VWP,25,169,196,390,50,43,6,,,,,
LP19LXG,28,1047,196,1271,15,82,2,,,,,
RA19NVW,60,28,197,285,69,10,21,,,,,
LC67XCM,119,53,197,369,53,14,32,,,,,
RE18KOJ,40,187,197,424,46,44,9,,,,,
RE66FJX,152,414,197,763,26,54,20,,,,,
LS67LZO,142,160,198,500,40,32,28,,,,,
ML19TNX,203,304,199,706,28,43,29,,,,,
LV67FPD,171,67,200,438,46,15,39,,,,,
RE66FKB,83,72,205,360,57,20,23,,,,,
MX19PXE,102,228,205,535,38,43,19,,,,,
RK69TWL,145,291,206,642,32,45,23,,,,,
RX17YTU,20,271,207,498,42,54,4,,,,,
LR70MZO,6,216,210,432,49,50,1,,,,,
LK19TKE,66,1242,210,1518,14,82,4,,,,,
LL20HGJ,14,75,212,301,70,25,5,,,,,
LT69GWX,28,278,212,518,41,54,5,,,,,
RV66CFD,55,287,212,554,38,52,10,,,,,
LN67KBX,244,227,218,689,32,33,35,,,,,
LV18LXN,466,1546,218,2230,10,69,21,,,,,
AY20ZSR,6,26,219,251,87,10,2,,,,,
LX18ZTO,206,56,220,482,46,12,43,,,,,
LS17VGK,46,703,221,970,23,72,5,,,,,
AY20YZP,2,35,222,259,86,14,1,,,,,
LN67KFV,37,96,223,356,63,27,10,,,,,
LX68MJO,145,259,223,627,36,41,23,,,,,
RJ16URK,167,321,223,711,31,45,23,,,,,
RO69GFY,33,139,225,397,57,35,8,,,,,
LN67KHE,69,204,227,500,45,41,14,,,,,
LV17DYY,182,119,227,528,43,23,34,,,,,
LY66HPV,62,54,230,346,66,16,18,,,,,
LX68MFO,65,405,230,700,33,58,9,,,,,
RX17ZRT,223,734,231,1188,19,62,19,,,,,
KY66TCK,73,98,232,403,58,24,18,,,,,
LV67HVA,38,371,232,641,36,58,6,,,,,
RV18LNP,54,442,233,729,32,61,7,,,,,
RK20UZO,291,1945,235,2471,10,79,12,,,,,
RO70FOU,226,35,237,498,48,7,45,,,,,
LT67PHO,199,119,237,555,43,21,36,,,,,
LT67PHN,192,159,238,589,40,27,33,,,,,
RK19YBX,25,217,241,483,50,45,5,,,,,
LR17WRF,70,301,242,613,39,49,11,,,,,
MX19RNY,58,139,243,440,55,32,13,,,,,
WU17EHL,9,864,243,1116,22,77,1,,,,,
LX67KNS,28,19,244,291,84,7,10,,,,,
WX65VRM,10,11,245,266,92,4,4,,,,,
LV66VHC,56,8,246,310,79,3,18,,,,,
RE66BHV,135,327,246,708,35,46,19,,,,,
LN67JZG,60,77,248,385,64,20,16,,,,,
LX67KDZ,78,559,249,886,28,63,9,,,,,
LV67OES,27,20,250,297,84,7,9,,,,,
MD19CWZ,236,68,250,554,45,12,43,,,,,
LR69LUH,161,306,250,717,35,43,22,,,,,
LS17HTN,177,63,252,492,51,13,36,,,,,
WX65VRN,22,23,253,298,85,8,7,,,,,
LL17TYT,73,30,254,357,71,8,20,,,,,
LL19YFD,398,455,254,1107,23,41,36,,,,,
LL17TTF,33,35,255,323,79,11,10,,,,,
LP19LXN,2,21,256,279,92,8,1,,,,,
KE68BWB,5,28,256,289,89,10,2,,,,,
LN67KDK,90,171,256,517,50,33,17,,,,,
LS66GYF,70,460,257,787,33,58,9,,,,,
LN67KAA,22,23,258,303,85,8,7,,,,,
RV68VLD,47,91,261,399,65,23,12,,,,,
LT67LUR,68,113,261,442,59,26,15,,,,,
LR69CZW,76,204,263,543,48,38,14,,,,,
LT69GWY,21,19,264,304,87,6,7,,,,,
LN67KJU,5,10,266,281,95,4,2,,,,,
LX68OSR,165,59,266,490,54,12,34,,,,,
LN67KEK,15,44,267,326,82,13,5,,,,,
LK67YBU,293,198,269,760,35,26,39,,,,,
RX18LAE,178,318,269,765,35,42,23,,,,,
LR69CZD,25,477,269,771,35,62,3,,,,,
LX18ZSE,3,12,270,285,95,4,1,,,,,
MD19RSX,36,140,270,446,61,31,8,,,,,
MD19CYY,141,1103,270,1514,18,73,9,,,,,
LN67KJX,9,27,271,307,88,9,3,,,,,
VU65NLP,266,506,272,1044,26,48,25,,,,,
AY20ZBZ,3,14,273,290,94,5,1,,,,,
RA19NVJ,81,44,273,398,69,11,20,,,,,
LR69AYD,190,445,274,909,30,49,21,,,,,
LR68JCZ,20,125,276,421,66,30,5,,,,,
LL19YFA,242,117,276,635,43,18,38,,,,,
LO19YVC,46,98,277,421,66,23,11,,,,,
LV18FEG,13,133,277,423,65,31,3,,,,,
LK17YUW,77,275,277,629,44,44,12,,,,,
RX66NPP,32,111,278,421,66,26,8,,,,,
RE66NWD,162,50,278,490,57,10,33,,,,,
LS17HUJ,289,342,279,910,31,38,32,,,,,
RV18LNF,87,126,281,494,57,26,18,,,,,
LS70TFY,96,5,282,383,74,1,25,,,,,
RE18KOV,141,619,282,1042,27,59,14,,,,,
RE70HYN,53,116,284,453,63,26,12,,,,,
MD19CXV,206,54,284,544,52,10,38,,,,,
KF19BAU,18,28,288,334,86,8,5,,,,,
MF20RMV,181,1189,288,1658,17,72,11,,,,,
MC19LWF,152,259,290,701,41,37,22,,,,,
RK20UZW,443,2365,291,3099,9,76,14,,,,,
RX67MXC,42,87,292,421,69,21,10,,,,,
MC19LWU,243,52,293,588,50,9,41,,,,,
LR69CHJ,47,22,294,363,81,6,13,,,,,
LM66NHO,82,154,294,530,55,29,15,,,,,
AY20YZS,5,29,295,329,90,9,2,,,,,
LK19TFY,202,28,295,525,56,5,38,,,,,
AY20YYT,4,12,296,312,95,4,1,,,,,
ML19TNU,213,836,296,1345,22,62,16,,,,,
LK19TOU,229,19,298,546,55,3,42,,,,,
LR69CYZ,34,434,302,770,39,56,4,,,,,
LN67JZH,28,5,303,336,90,1,8,,,,,
RE69NCD,476,2622,303,3401,9,77,14,,,,,
RE66FHU,80,52,304,436,70,12,18,,,,,
LY66BXR,46,177,304,527,58,34,9,,,,,
LL19YFH,175,52,304,531,57,10,33,,,,,
ML19TNV,230,33,306,569,54,6,40,,,,,
RJ16URH,153,275,309,737,42,37,21,,,,,
LO69YXB,186,578,309,1073,29,54,17,,,,,
LX68MJK,377,1244,309,1930,16,64,20,,,,,
LS17XPN,60,41,310,411,75,10,15,,,,,
KF19AZZ,7,54,311,372,84,15,2,,,,,
RE66ZSY,38,35,311,384,81,9,10,,,,,
RV66NDX,169,127,312,608,51,21,28,,,,,
LM18LNF,59,292,313,664,47,44,9,,,,,
LX17ORF,32,259,316,607,52,43,5,,,,,
LV67HVU,199,311,316,826,38,38,24,,,,,
LO69YKD,106,164,317,587,54,28,18,,,,,
RF19CUJ,2,15,318,335,95,4,1,,,,,
MJ19RFY,211,837,318,1366,23,61,15,,,,,
LR20FEK,7,60,319,386,83,16,2,,,,,
MH19XFY,8,14,320,342,94,4,2,,,,,
LL19YFF,340,139,320,799,40,17,43,,,,,
RX17ZNT,74,251,321,646,50,39,11,,,,,
KF19AYJ,6,19,322,347,93,5,2,,,,,
LR69BGY,22,43,322,387,83,11,6,,,,,
LR69CYS,22,46,322,390,83,12,6,,,,,
RK20UWX,267,2363,323,2953,11,80,9,,,,,
LO69YKF,83,53,324,460,70,12,18,,,,,
LR20EXN,71,113,324,508,64,22,14,,,,,
LX68MDE,85,158,325,568,57,28,15,,,,,
RX17ZRV,106,374,327,807,41,46,13,,,,,
LR20CXE,36,106,328,470,70,23,8,,,,,
LX17ORG,139,192,328,659,50,29,21,,,,,
RE18KOX,34,298,328,660,50,45,5,,,,,
LO69YJR,231,365,328,924,35,40,25,,,,,
LL17TSO,207,62,329,598,55,10,35,,,,,
LL17TZE,42,119,330,491,67,24,9,,,,,
RX17ZSD,169,80,331,580,57,14,29,,,,,
LL19YFG,122,57,332,511,65,11,24,,,,,
LR17ZYD,192,187,333,712,47,26,27,,,,,
LL17EFD,226,164,333,723,46,23,31,,,,,
LN17JCX,6,32,336,374,90,9,2,,,,,
LR20FLA,9,31,336,376,89,8,2,,,,,
RE66BHW,189,77,337,603,56,13,31,,,,,
LL19WLJ,110,191,337,638,53,30,17,,,,,
LL19YFB,45,258,337,640,53,40,7,,,,,
LS17VFT,67,453,337,857,39,53,8,,,,,
RA19NVN,397,659,337,1393,24,47,28,,,,,
RO68XJK,7,37,338,382,88,10,2,,,,,
RE67WOC,174,199,338,711,48,28,24,,,,,
MX19PXG,35,245,339,619,55,40,6,,,,,
RV18LNT,27,621,339,987,34,63,3,,,,,
RV69UUL,199,48,340,587,58,8,34,,,,,
LX68MDZ,71,37,346,454,76,8,16,,,,,
LR68HXP,31,148,347,526,66,28,6,,,,,
LV67SWO,229,25,347,601,58,4,38,,,,,
LL17TUY,46,62,348,456,76,14,10,,,,,
LS66HBN,145,174,348,667,52,26,22,,,,,
MH19XKD,59,14,349,422,83,3,14,,,,,
RK20UZT,428,1338,352,2118,17,63,20,,,,,
LR69ATX,223,134,353,710,50,19,31,,,,,
AY20YYO,7,5,355,367,97,1,2,,,,,
RO69CFF,302,39,355,696,51,6,43,,,,,
LR68HZJ,83,114,356,553,64,21,15,,,,,
LY66DYS,68,146,356,570,62,26,12,,,,,
LK19TLV,308,326,356,990,36,33,31,,,,,
LN17JJL,13,20,357,390,92,5,3,,,,,
LX17NUC,309,555,358,1222,29,45,25,,,,,
RA19NVH,100,61,359,520,69,12,19,,,,,
WX65VRO,99,104,359,562,64,19,18,,,,,
LK19TMX,279,297,359,935,38,32,30,,,,,
LL18EGD,253,127,360,740,49,17,34,,,,,
RA19NVG,8,34,361,403,90,8,2,,,,,
LL17TWD,104,1133,361,1598,23,71,7,,,,,
RO69VTL,81,49,362,492,74,10,16,,,,,
RF66HZJ,113,84,364,561,65,15,20,,,,,
RK19YAE,97,158,364,619,59,26,16,,,,,
RV18LNG,60,436,364,860,42,51,7,,,,,
MD19CZA,331,32,366,729,50,4,45,,,,,
RE70HYO,37,253,367,657,56,39,6,,,,,
LX68YUN,183,549,371,1103,34,50,17,,,,,
LR69CZU,43,259,372,674,55,38,6,,,,,
LV67HVR,64,308,372,744,50,41,9,,,,,
LO19YUS,66,87,373,526,71,17,13,,,,,
RA19YLJ,25,85,375,485,77,18,5,,,,,
RF66HZW,30,161,375,566,66,28,5,,,,,
LR20FKZ,175,102,375,652,58,16,27,,,,,
LP69ZGB,111,252,375,738,51,34,15,,,,,
MC19LWE,169,316,375,860,44,37,20,,,,,
RK70VPO,26,20,376,422,89,5,6,,,,,
LK19TNJ,354,53,376,783,48,7,45,,,,,
LL69GHV,44,160,378,582,65,27,8,,,,,
LK19TNF,353,27,378,758,50,4,47,,,,,
RK69TZB,162,27,379,568,67,5,29,,,,,
LT69GXC,16,48,381,445,86,11,4,,,,,
LC67XCH,39,26,381,446,85,6,9,,,,,
LM66NBE,73,45,381,499,76,9,15,,,,,
RY19LFR,176,200,382,758,50,26,23,,,,,
RX17ZSK,108,106,383,597,64,18,18,,,,,
LR69CZT,17,18,384,419,92,4,4,,,,,
RK69TZZ,6,40,384,430,89,9,1,,,,,
WX65VRV,85,50,384,519,74,10,16,,,,,
RK69TZC,95,24,387,506,76,5,19,,,,,
LL67UJX,55,90,387,532,73,17,10,,,,,
LS17VPT,130,194,387,711,54,27,18,,,,,
WX65VRL,2,52,388,442,88,12,0,,,,,
LK19TFO,344,128,388,860,45,15,40,,,,,
LN67KCJ,22,37,389,448,87,8,5,,,,,
LV67HWL,11,492,389,892,44,55,1,,,,,
RF19NJN,234,233,390,857,46,27,27,,,,,
LN67KGV,33,36,391,460,85,8,7,,,,,
LK19TFZ,175,46,391,612,64,8,29,,,,,
RA19NVS,215,176,392,783,50,22,27,,,,,
LV67FPO,254,281,392,927,42,30,27,,,,,
RK69TXD,18,23,393,434,91,5,4,,,,,
RE18KOU,76,206,394,676,58,30,11,,,,,
LN67KHW,267,32,394,693,57,5,39,,,,,
LR69CZE,8,594,394,996,40,60,1,,,,,
RK20UZE,344,1878,394,2616,15,72,13,,,,,
KE69SYV,0,16,395,411,96,4,0,,,,,
LK19TPV,319,21,395,735,54,3,43,,,,,
RK69TXP,128,23,397,548,72,4,23,,,,,
LM16XBZ,182,28,397,607,65,5,30,,,,,
LL17TUP,21,196,397,614,65,32,3,,,,,
RE66ZRY,148,101,397,646,61,16,23,,,,,
LL69GHX,14,141,399,554,72,25,3,,,,,
LR68HYG,49,165,400,614,65,27,8,,,,,
LX17ORV,177,68,400,645,62,11,27,,,,,
KF19ARU,58,109,401,568,71,19,10,,,,,
LX17NVL,133,48,401,582,69,8,23,,,,,
RA19NVK,141,110,401,652,62,17,22,,,,,
LR68HUJ,81,29,402,512,79,6,16,,,,,
LK19TNV,293,33,402,728,55,5,40,,,,,
LL17TZK,97,57,403,557,72,10,17,,,,,
LR17ZXN,278,93,403,774,52,12,36,,,,,
RF19NKE,198,70,404,672,60,10,29,,,,,
LR17ZYG,414,493,404,1311,31,38,32,,,,,
RF19CUA,167,62,405,634,64,10,26,,,,,
AY20ZBV,8,5,406,419,97,1,2,,,,,
MH19XKB,23,15,406,444,91,3,5,,,,,
LL67UGZ,224,64,406,694,59,9,32,,,,,
LK19TNX,252,48,406,706,58,7,36,,,,,
LL19YFC,192,135,406,733,55,18,26,,,,,
LN67JYF,12,388,407,807,50,48,1,,,,,
LV67FPZ,174,71,408,653,62,11,27,,,,,
LR20WBX,143,258,408,809,50,32,18,,,,,
LM18GFX,42,35,409,486,84,7,9,,,,,
LR69CYW,12,1499,409,1920,21,78,1,,,,,
RJ19WKV,368,40,410,818,50,5,45,,,,,
LV67HVM,57,381,410,848,48,45,7,,,,,
LO67XHL,314,583,410,1307,31,45,24,,,,,
LP69ZFZ,0,258,411,669,61,39,0,,,,,
RK69TXM,13,43,413,469,88,9,3,,,,,
KF19ATV,20,88,413,521,79,17,4,,,,,
LP69AVB,257,573,413,1243,33,46,21,,,,,
LR69CYX,151,110,414,675,61,16,22,,,,,
LX18ZRT,33,55,415,503,83,11,7,,,,,
LX68MJU,49,260,416,725,57,36,7,,,,,
RX68ZCA,20,64,417,501,83,13,4,,,,,
LS17XSL,36,49,417,502,83,10,7,,,,,
KE69TOJ,5,9,418,432,97,2,1,,,,,
LX68MGZ,75,319,418,812,51,39,9,,,,,
LN67KDU,8,6,419,433,97,1,2,,,,,
LT67LVH,247,148,420,815,52,18,30,,,,,
