Directorate,Operations,URN,MPS,IRIS,DIR,BTP,EIRF,WAASB,ASIF,SHE,MTR,LORRL,Date Entered,Incident Date,Year,Month,Weekday,Time,Hour,HourGroup,FinancialPeriodInYear,Period,Week,Qtr,Station,Bus Route,Location / Road Name,Area Within Station,Area Within Station (2),HOCO,Line Management,Area Management,Cover Group,Bus Route Journey,Bus Garage,Bus Operator,Boroughs,Ward,Easting,Northing,Description,Classification,Harm Score,Trigger 1,Trigger 2,Trigger 3,Spit,"Hate (D,F,H,R)",Intox,"RS / Beg (B,R)",Youth,Rep Off,"Ped Con (B,E,R,S)",Off Bus,Through Window,Weapon (seen/used),Liquid,Number of Vics,Victim 1 Gender,Victim 1 Job Role,Victim 2 Gender,Victim 2 Job Role,Victim 3 Gender,Victim 3 Job Role,Victim 4 Gender,Victim 4 Job Role,Victim 5 Gender,Victim 5 Job Role,Suspect Number (Aprox),Suspect Gender,CheckForSubject,CheckForAction,Confidence,Date_Created,ReportingLag
,,9528211,,,DIR,,,,,,,,27/11/2023,23/11/2023,2023,NOVEMBER,THURSDAY,09:24,9,6am-10am,9,,,,,,WILLESDEN LANE - BRENT,,,,,,,,,,Brent,,523674,184543,"Kadhim LAMI 01/04/1938

MALE - IC4 (MIDDLE EASTERN) - A/A 85 - NAVY BLUE TRACKSUIT, GREY HAT, CARRYING A SUPERMARKET SHOPPING BAG, HE ALSO CARRIES A LETTER WITH HIM WHICH HAS HIS NAME AND ADDRESS ON IT

SUFFERS FROM DEMENTIA - HAS SLURRED SPEECH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,0,24/11/2023 09:35,
,,9528241,,,DIR,,,,,,,,27/11/2023,23/11/2023,2023,NOVEMBER,THURSDAY,09:56,9,6am-10am,9,,,,,5,BARKING ROAD - NEWHAM,,,,,,,,,,Newham,,540872,182737,"NO WORKS TAKING PLACE - STOP CAB BE REOPENED 

Bus Stop PLAISTOW / PRINCE REGENT LANE 
Stop No 4893 
Point Letter BM 

CCTV 2314

Bus Stop PLAISTOW / PRINCE REGENT LANE 
Stop No 4893 
Road BARKING ROAD 
Direction EAST HAM OR FOREST GATE 
Shelter Y 
O",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,0,24/11/2023 10:37,
,,9528260,,,DIR,,,,,,,,27/11/2023,23/11/2023,2023,NOVEMBER,THURSDAY,10:08,10,10am-2pm,9,,,,,12,HORSE GUARDS AVENUE -,,,,,,,,,,Westminster,,530133,180107,ROAD IS CLOSED BY POLICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,0,24/11/2023 10:09,
,,9528302,,,DIR,,,,,,,,27/11/2023,23/11/2023,2023,NOVEMBER,THURSDAY,10:29,10,10am-2pm,9,,,,,17,GRAY'S INN ROAD - CAMDEN,,,,,,,,,,Camden,,531079,181780,"DRIVER REPORTING - SHELTER GLASS SMASHED  - FRAME ALSO DAMSGED - POSSIBLY FROM AN RTC 

Bus Stop GRAY''S INN ROAD 
Stop No 1393 
Point Letter B 

SEE LOG REF 175. ALREADY REPORTED TO ASSET OPS. 4 HOUR ETA EMERGENCY LINE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,1,24/11/2023 17:33,
,,9528303,,,DIR,,,,,,,,27/11/2023,23/11/2023,2023,NOVEMBER,THURSDAY,10:30,10,10am-2pm,9,,,,,11,PARLIAMENT STREET - CITY OF WESTMINSTER,,,,,,,,,,Westminster,,530154,179738,NOW RE-OPENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,0,24/11/2023 10:30,
,,9528336,,,DIR,,,,,,,,27/11/2023,23/11/2023,2023,NOVEMBER,THURSDAY,11:12,11,10am-2pm,9,,,,,,WELLS WAY - SOUTHWARK,,,,,,,,,,Southwark,,532983,177839,"Black female, 5 foot 6 tall, long black hair, 

Naked!

Missing 1030hrs this morning",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,0,24/11/2023 13:04,
,,9528366,,,DIR,,,,,,,,27/11/2023,23/11/2023,2023,NOVEMBER,THURSDAY,11:41,11,10am-2pm,9,,,,,,FORTIS GREEN ROAD - LONDON BOROUGH OF HARINGEY,,,,,,,,,,Haringey,,528616,189463,CONTRACTORS STATE WORKS HAVE BEEN COMPLETED - BUS STOPS CAN BE RE-OPENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,0,24/11/2023 11:43,
,,9528393,,,DIR,,,,,,,,27/11/2023,23/11/2023,2023,NOVEMBER,THURSDAY,12:01,12,10am-2pm,9,,,,,110,"HANWORTH ROAD - LONDON BOROUGH OF HOUNSLOW, RICHMOND UPON THAMES",,,,,,,,,,Richmond upon Thames,,512767,173715,NOW CLEARED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,0,24/11/2023 12:02,
,,9528399,,,DIR,,,,,,,,27/11/2023,23/11/2023,2023,NOVEMBER,THURSDAY,12:06,12,10am-2pm,9,,,,,24,"CHARING CROSS ROAD - CITY OF WESTMINSTER, CAMDEN",,,,,,,,,,Westminster,,529934,180984,"ROAD HAS NOW REOPENED 

Diversion Reference D61824

NRT IS AWARE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,0,24/11/2023 12:08,
,,9528401,,,DIR,,,,,,,,27/11/2023,23/11/2023,2023,NOVEMBER,THURSDAY,12:07,12,10am-2pm,9,,,,,29,"CHARING CROSS ROAD - CITY OF WESTMINSTER, CAMDEN",,,,,,,,,,Westminster,,529915,181037,AWARE ITS CLEARED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,0,24/11/2023 12:08,
